Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Guard,0.0,67.75,0.0,70.0,88.5,7.5,7.0,21.0,26.5,12.62,3.7,4.0,0.0
Guard,0.01,69.0,161.264,71.585,91.5,7.5,7.773,23.0,28.5,12.2,3.462,3.4946,0.0
Guard,0.02,69.5,163.732,72.42,92.0,7.5,7.8,24.0,29.0,12.0792,3.41,3.4592,0.0
Guard,0.03,70.0,165.995,73.0,92.5,7.75,8.0,24.5,29.5,12.008799999999999,3.4032,3.4338,0.0
Guard,0.04,70.25,167.0,73.5,92.68,7.75,8.0,24.5,30.0,11.959200000000001,3.3376,3.4184,0.0
Guard,0.05,70.675,167.93,74.0,93.0,7.75,8.3,25.0,30.9,11.878,3.322,3.4,0.3000000000000007
Guard,0.06,71.0,169.6,74.0,93.5,8.0,8.3,25.0,31.0,11.8088,3.3,3.4,1.0
Guard,0.07,71.0,170.124,74.25,94.0,8.0,8.3,25.5,31.0,11.78,3.28,3.39,1.0
Guard,0.08,71.18,171.0,74.5,94.0,8.0,8.3,26.0,31.5,11.73,3.26,3.38,1.0
Guard,0.09,71.5,172.0,74.5,94.03,8.0,8.5,26.0,31.5,11.6932,3.25,3.3613999999999997,1.0
Guard,0.1,71.5,173.72,74.77,94.5,8.0,8.5,26.0,31.5,11.666,3.24,3.35,1.0
Guard,0.11,71.75,175.0,75.0,94.5,8.0,8.5,26.0,32.0,11.63,3.23,3.34,1.0
Guard,0.12,71.75,175.2,75.02,95.0,8.0,8.5,26.5,32.0,11.61,3.2128,3.34,2.0
Guard,0.13,71.855,176.0,75.25,95.0,8.0,8.5,26.5,32.0,11.5924,3.21,3.33,2.0
Guard,0.14,72.0,176.56199999999998,75.5,95.0,8.0,8.5,26.5,32.5,11.57,3.2016,3.32,2.0
Guard,0.15,72.0,177.19,75.5,95.5,8.0,8.5,27.0,32.5,11.542,3.2,3.32,2.0
Guard,0.16,72.25,178.0,75.61,95.5,8.0,8.5,27.0,32.5,11.5168,3.2,3.32,3.0
Guard,0.17,72.25,178.4,76.0,96.0,8.0,8.5,27.0,32.5,11.5016,3.19,3.31,3.0
Guard,0.18,72.25,178.988,76.0,96.0,8.0,8.5,27.5,33.0,11.5,3.1892,3.3028,3.0
Guard,0.19,72.5,179.2,76.0,96.0,8.072500000000002,8.5,27.5,33.0,11.48,3.18,3.3,4.0
Guard,0.2,72.5,180.0,76.0,96.0,8.25,8.5,27.5,33.0,11.46,3.17,3.29,4.0
Guard,0.21,72.5,180.4,76.25,96.5,8.25,8.8,27.5,33.0,11.45,3.17,3.29,4.0
Guard,0.22,72.75,181.0,76.5,96.5,8.25,8.8,27.5,33.0,11.43,3.1668,3.29,4.0
Guard,0.23,72.75,181.118,76.5,96.5,8.25,8.8,27.555000000000007,33.0,11.4004,3.16,3.28,4.780000000000001
Guard,0.24,72.75,181.59199999999998,77.0,96.5,8.25,8.8,28.0,33.5,11.3952,3.16,3.28,5.0
Guard,0.25,72.775,182.4,77.0,97.0,8.25,8.8,28.0,33.5,11.38,3.15,3.27,5.0
Guard,0.26,73.0,183.0,77.25,97.0,8.25,8.8,28.0,33.5,11.37,3.1444,3.27,5.0
Guard,0.27,73.0,183.182,77.25,97.0,8.25,8.8,28.0,33.5,11.34,3.1388000000000003,3.27,5.0
