Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
ALL,Forward,78.5,211,86.25,108,NA,NA,28.5,33.5,11.48,NA,3.36,2
ALL,Forward,80.75,212,85,107,NA,NA,27.5,32,11.46,NA,3.23,12
ALL,Forward,77,206,84,100.5,NA,NA,39.5,40.5,11,NA,3.25,6
ALL,Forward,77.75,210,83.5,106,NA,NA,34.5,37,11.06,NA,3.19,13
ALL,Forward,78.5,250,82.25,104,NA,NA,28.5,30.5,11.57,NA,3.47,26
ALL,Guard,75.25,203,79.75,101.5,NA,NA,29.5,35,11.73,NA,3.22,11
ALL,Forward,82,234,88.75,110,NA,NA,26.5,34,12.02,NA,3.43,8
ALL,Forward,76.75,214,82,102.5,NA,NA,31,35.5,11.45,NA,3.19,13
ALL,Forward,79.2,221,83.5,103.5,NA,NA,32,35.5,10.58,NA,3.2,14
ALL,Guard,75.25,224,79,100,NA,NA,27.5,32.5,11.77,NA,3.48,13
ALL,Forward,81.5,240,88,109,NA,NA,28.5,31.5,12.28,NA,3.53,13
ALL,Forward,80.25,227,84.25,104,NA,NA,30,32.5,10.54,NA,3.25,13
ALL,Forward,77.25,206,85,104.5,NA,NA,30.5,35,11.58,NA,3.22,9
ALL,Forward,79.5,265,82,103.5,NA,NA,26,30.5,11.62,NA,3.38,26
ALL,Guard,71.25,194,78,96.5,NA,NA,35,40,11.08,NA,3.18,8
ALL,Forward,78.75,209,83.5,103,NA,NA,31,34,11.41,NA,3.31,24
ALL,Guard,77.75,223,83.25,103.5,NA,NA,35,41,11.32,NA,3.14,19
ALL,Forward,76,218,81.5,102.5,NA,NA,28,34.5,11.42,NA,3.25,12
ALL,Forward,79.25,238,84,107.5,NA,NA,25.5,30.5,12.26,NA,3.54,10
ALL,Forward,78.5,234,81,103,NA,NA,28.5,35.5,10.57,NA,3.21,17
ALL,Forward,76.5,204,82,103.5,NA,NA,32,38.5,10.57,NA,3.06,10
ALL,Guard,69,184,74.5,92.5,NA,NA,31,34,11.03,NA,3.11,13
ALL,Guard,76.25,224,82,103,NA,NA,31.5,37.5,12,NA,3.27,9
ALL,Guard,74,183,78.75,98,NA,NA,30.5,34.5,10.53,NA,3.2,16
ALL,Forward,79.75,253,84,106,NA,NA,26.5,30,11.54,NA,3.5,16
ALL,Guard,72.75,182,76.5,95.5,NA,NA,29,33,10.88,NA,3.34,4
ALL,Guard,72.75,171,75,94.5,NA,NA,33.5,42,11.07,NA,3.17,11
ALL,Guard,74.25,212,78.25,97,NA,NA,32,38,10.53,NA,3.23,14
ALL,Forward,81,247,85,105.5,NA,NA,26.5,32,11.97,NA,3.51,9
ALL,Forward,79,222,87,107.5,NA,NA,33,40.5,11.03,NA,3.32,9
ALL,Forward,76,201,82,103,NA,NA,30.5,38,11.69,NA,3.25,14
ALL,Forward,79.25,231,84.75,107,NA,NA,28.5,33,11.02,NA,3.45,10
ALL,Forward,76.75,216,78.25,99,NA,NA,28,33.5,11.3,NA,3.46,16
ALL,Forward,81.75,219,84.25,107.5,NA,NA,27.5,31.5,11.34,NA,3.46,10
ALL,Forward,76.75,238,85.5,105.5,NA,NA,30,34,12.06,NA,3.34,20
ALL,Forward,79.75,236,85,107,NA,NA,30,36.5,12.23,NA,3.24,1
ALL,Guard,72.5,198,79,96.5,NA,NA,30,36.5,10.35,NA,3.16,17
ALL,Forward,77.75,211,81.5,101.5,NA,NA,28.5,34.5,11.23,NA,3.28,15
ALL,Forward,80.5,224,88.75,109,NA,NA,32,39,11.27,NA,3.3,6
ALL,Guard,77.25,202,81.25,104,NA,NA,29,34.5,11.4,NA,3.24,11
ALL,Forward,77.5,266,87,104,NA,NA,28,32,11.42,NA,3.34,13
ALL,Forward,76.75,179,78.75,100.5,NA,NA,29,35.5,10.67,NA,3.3,5
ALL,Guard,71.75,190,78.25,97,NA,NA,26,31,11.62,NA,3.38,8
ALL,Guard,75,187,77.75,96.5,NA,NA,30.5,39,11.46,NA,3.34,1
ALL,Guard,71.75,177,72.75,92.5,NA,NA,27,32,11.28,NA,3.4,3
ALL,Forward,79.5,232,84,105.5,NA,NA,31.5,36,11.47,NA,3.29,19
ALL,Forward,80.5,251,84,101.5,NA,NA,29,35.5,12.25,NA,3.66,25
ALL,Forward,78.25,258,85.5,105.5,NA,NA,28.5,32.5,11.67,NA,3.3,15
ALL,Forward,74,208,78.5,98.5,NA,NA,37.5,41.5,11.45,NA,3.16,17
ALL,Forward,78.5,198,82,105,NA,NA,25.5,30.5,11.46,NA,3.37,11
ALL,Forward,79.75,258,88.25,107,NA,NA,26.5,26,12.57,NA,3.65,8
ALL,Forward,76.5,223,81.5,100,NA,NA,34.5,38.5,10.54,NA,3.07,20
ALL,Forward,80,216,81.5,103,NA,NA,24.5,31,11.11,NA,3.37,5
ALL,Center,83,249,89.75,113,NA,NA,26.5,30,12.68,NA,3.63,13
ALL,Guard,74.75,204,79.5,100.5,NA,NA,29.5,35.5,11.91,NA,3.08,7
ALL,Guard,72.5,175,77,94,NA,NA,32,37,11.25,NA,3.25,7
ALL,Guard,73,204,80.5,99.5,NA,NA,28.5,35.5,11.01,NA,3.2,9
ALL,Guard,76,190,75.25,97.5,NA,NA,27.5,33,10.94,NA,3.29,6
ALL,Forward,78.25,217,86.5,105.5,NA,NA,29,32.5,11.73,NA,3.4,12
ALL,Forward,77.25,207,80,101,NA,NA,34,40.5,11.13,NA,3.27,6
ALL,Center,83,237,92.5,113,NA,NA,28.5,31,12.52,NA,3.38,7
ALL,Forward,80.25,223,88.25,108.5,NA,NA,30.5,35,11.05,NA,3.31,15
ALL,Forward,79,220,83.5,104.5,NA,NA,30,34,11.56,NA,3.4,9
ALL,Forward,77.5,259,81.5,103.5,NA,NA,30,29.5,11.59,NA,3.4,NA
ALL,Forward,79.5,238,84.5,104,NA,NA,29.5,34.5,12.08,NA,3.4,15
ALL,Center,81.5,241,88.25,107.5,NA,NA,31.5,37,12.29,NA,3.51,2
ALL,Center,85.25,280,86.25,109,NA,NA,28.5,29.5,11.67,NA,3.38,NA
ALL,Guard,73.75,208,77,97.5,NA,NA,28,31.5,10.95,NA,3.27,17
ALL,Forward,79.25,217,87,108,NA,NA,34,39.5,11.36,NA,3.2,8
ALL,Forward,75.75,224,78.5,99.5,NA,NA,29,34,11.58,NA,3.31,19
ALL,Forward,80.5,267,84.75,108.5,NA,NA,23,28,13.7,NA,3.72,8
ALL,Guard,71.5,195,76,96,NA,NA,29,37.5,10.71,NA,3.26,9
ALL,Guard,72.5,171,78,96,NA,NA,31.5,34,11.61,NA,3.15,12
ALL,Forward,79.25,285,88.25,106.5,NA,NA,28.5,29,11.71,NA,3.56,17
ALL,Forward,79.25,211,85.5,109,NA,NA,26.5,31.5,11.9,NA,3.31,7
ALL,Guard,74,215,79,97.5,NA,NA,24.5,28,11.3,NA,3.4,4
ALL,Forward,79.25,227,87,104,NA,NA,32,31,10.69,NA,3.3,NA
ALL,Forward,79.5,258,88.25,104,NA,NA,29,33.5,11.53,NA,3.59,25
ALL,Forward,78,227,82,101,NA,NA,35,36.5,11.54,NA,3.1,14
ALL,Guard,75.75,183,84,102.5,NA,NA,28,32,11.67,NA,3.35,11
ALL,Forward,81.5,236.4,87,108.5,NA,NA,30.5,32.5,12.58,NA,3.35,13
ALL,Forward,NA,NA,NA,NA,NA,NA,26.5,30.5,11.56,NA,3.42,NA
ALL,Forward,82,220.6,83,110,NA,NA,NA,NA,NA,NA,NA,5
ALL,Forward,76.5,223.2,81.5,104,NA,NA,26.5,30.5,10.32,NA,3.27,10
ALL,Forward,85.25,227.8,83.25,112.5,NA,NA,24,27.5,11.94,NA,3.42,0
ALL,Forward,77.75,206.4,85,108,NA,NA,25,31.5,11.74,NA,3.35,7
ALL,Forward,76.25,210,82.25,101,NA,NA,33,36.5,10.52,NA,3.21,14
ALL,Forward,80.75,206.2,85.5,104.5,NA,NA,33.5,39.5,11.73,NA,3.29,13
ALL,Forward,83,250.6,87,110.5,NA,NA,27.5,33.5,12.06,NA,3.51,13
ALL,Guard,71,179,74,94,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,70.5,188.8,75.5,93,NA,NA,33,40.5,11.12,NA,3,15
ALL,Center,82.25,280.4,90,114,NA,NA,NA,NA,NA,NA,NA,9
ALL,Guard,73,188.6,75,96.5,NA,NA,30.5,36.5,10.51,NA,3.28,14
ALL,Forward,79.75,252.4,83.5,106.5,NA,NA,24.5,27,11.51,NA,3.44,5
ALL,Guard,71.75,165.2,71.75,93.5,NA,NA,24.5,31,10.85,NA,3.26,1
ALL,Forward,78.5,255.4,87.5,109,NA,NA,28,31,11.94,NA,3.45,21
ALL,Guard,71.25,160.8,71.5,94,NA,NA,25,30.5,11.41,NA,3.24,0
ALL,Guard,74.25,176.6,74.75,98,NA,NA,26.5,31.5,12.13,NA,3.31,0
ALL,Guard,71.5,199.4,76.25,98,NA,NA,29,33.5,10.5,NA,3.06,6
ALL,Guard,76.75,172,79.5,101.5,NA,NA,26.5,35.5,10.48,NA,3.33,0
ALL,Forward,81.25,242.4,90,110.5,NA,NA,28,30.5,12.53,NA,3.5,2
ALL,Forward,82.25,235.2,90.75,111.5,NA,NA,29.5,34,11.53,NA,3.28,12
ALL,Forward,79.25,212.8,85.5,106,NA,NA,28.5,37,11.92,NA,3.2,9
ALL,Forward,81.5,243.6,86.5,110.5,NA,NA,27.5,31,11.6,NA,3.38,19
ALL,Forward,79.75,214,88.5,110.5,NA,NA,31.5,35.5,12.51,NA,3.27,11
ALL,Forward,77.75,189.6,82.75,103,NA,NA,27.5,31.5,10.63,NA,3.33,5
ALL,Guard,73.25,195.2,81.25,96.5,NA,NA,30.5,36.5,11.48,NA,3.15,12
ALL,Forward,83,225.2,87.5,110,NA,NA,29.5,36,11.48,NA,3.33,18
ALL,Forward,77.25,216.6,80,104,NA,NA,30,36,10.62,NA,3.05,26
ALL,Guard,79.5,225.4,85.5,103,NA,NA,31,34,10.84,NA,3.34,10
ALL,Forward,78,192,81.75,104,NA,NA,31.5,39,11.2,NA,3.21,7
ALL,Forward,77.5,232.4,82,104.5,NA,NA,30,33,10.7,NA,3.34,20
ALL,Guard,74,178.8,77.25,98.5,NA,NA,31.5,38.5,11.12,NA,3.21,14
ALL,Forward,78,202.2,84.5,107.5,NA,NA,24.5,29,10.89,NA,3.18,14
ALL,Forward,79.75,248.2,85.25,104.5,NA,NA,NA,NA,NA,NA,NA,16
ALL,Forward,79.75,208.8,85.25,109.5,NA,NA,22,30,11.59,NA,3.56,2
ALL,Guard,74.5,197.6,79.5,100,NA,NA,26,28.5,10.87,NA,3.24,5
ALL,Forward,80.5,242.2,86.75,108.5,NA,NA,28,31.5,11.87,NA,3.25,15
ALL,Forward,79.5,217,83,105.5,NA,NA,31.5,35,11.6,NA,3.38,7
ALL,Forward,80.5,249.4,82,107.5,NA,NA,21.5,27,13.13,NA,3.68,12
ALL,Forward,74.25,203.2,81,101,NA,NA,32,29.5,11.38,NA,3.23,8
ALL,Forward,79.75,229.5,84,106.5,NA,NA,30.5,32.5,10.8,NA,3.19,14
ALL,Guard,69.25,154.4,72,92,NA,NA,29,34,10.44,NA,3.14,4
ALL,Forward,78.5,233.4,84,103.5,NA,NA,NA,NA,NA,NA,NA,17
ALL,Forward,76.5,186.6,85,104,NA,NA,30.5,37,11.64,NA,3.21,7
ALL,Forward,77,257.6,87.25,107,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,79,258.8,85.25,105,NA,NA,30,33,11.04,NA,3.29,12
ALL,Guard,74.75,201,82.75,103.5,NA,NA,32.5,34.5,10.39,NA,3.11,15
ALL,Forward,77.5,228.6,81,105.5,NA,NA,26.5,32,10.64,NA,3.27,10
ALL,Forward,77.25,231.4,84,106.5,NA,NA,29,33,11.7,NA,3.24,14
ALL,Guard,72,174.6,75.5,94,NA,NA,32,37.5,10.69,NA,3.22,7
ALL,Forward,78,255.2,81.75,105.5,NA,NA,26,28.5,12.8,NA,3.42,15
ALL,Guard,75,196,78,99.5,NA,NA,31.5,36.5,11.44,NA,3.18,17
ALL,Forward,81.5,238.8,83.75,108.5,NA,NA,25,30.5,12.12,NA,3.48,11
ALL,Guard,71.75,178,76.25,93,NA,NA,32,38,11.09,NA,3.22,10
ALL,Forward,81.25,259.2,82.5,106,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,77.25,221.8,82.75,105,NA,NA,27.5,34.5,11.54,NA,3.21,12
ALL,Forward,76.75,218.6,83.5,104,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,72.75,184.8,77.5,96.5,NA,NA,31.5,39,10.49,NA,3.29,11
ALL,Guard,72.75,178.8,74.75,95,NA,NA,31.5,37,11.17,NA,3.19,14
ALL,Forward,77,211.4,83.25,104.5,NA,NA,32.5,35,11.33,NA,3.31,0
ALL,Center,83.75,241.6,89,111.5,NA,NA,23.5,26.5,12.4,NA,3.47,1
ALL,Forward,79.25,255.8,84,107,NA,NA,27,27.5,11.05,NA,3.35,11
ALL,Forward,76,194.2,79.5,102.5,NA,NA,27,31.5,10.8,NA,3.18,3
ALL,Forward,80,258.8,87.5,108,NA,NA,28,33,11.98,NA,3.44,18
ALL,Forward,80.5,261,85.75,109,NA,NA,28.5,33,11.26,NA,3.27,14
ALL,Guard,71.75,176.2,75,95,NA,NA,28.5,34,10.84,NA,3.33,14
ALL,Forward,75.25,200,80,102,NA,NA,25,29.5,11.11,NA,3.27,6
ALL,Forward,78.25,195.8,81.75,105.5,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,80,237.8,85.5,106.5,NA,NA,30.5,33,11.5,NA,3.23,15
ALL,Forward,81,236.6,84.25,109,NA,NA,26,31,10.86,NA,3.3,11
ALL,Forward,79.25,215,86,108,NA,NA,33,38,NA,NA,3.22,11
ALL,Forward,78,229.6,83,106,NA,NA,28,30.5,11.39,NA,3.39,7
ALL,Forward,80,269.4,86,108,NA,NA,28.5,33.5,12.11,NA,3.25,15
ALL,Guard,73.75,202.4,78.25,98,NA,NA,30,35,10.83,NA,3.25,15
ALL,Forward,79,218,85.25,106.5,NA,NA,28,34,11.39,NA,3.23,15
ALL,Forward,79,228.2,87.5,108,NA,NA,29.5,35,11.11,NA,3.17,12
ALL,Forward,77.25,202.6,80.75,104.5,NA,NA,26.5,29.5,11.45,NA,3.41,12
ALL,Guard,73.25,186.8,82,100.5,NA,NA,30,36,11.58,NA,3.27,8
ALL,Guard,75.5,214,81,102,NA,NA,31.5,36.5,10.7,NA,3.19,17
ALL,Forward,79,201,86,107.5,NA,NA,29.5,32,11.63,NA,3.29,8
ALL,Guard,68.75,171,73,92,NA,NA,29,34.5,10.63,NA,3.08,13
ALL,Forward,78.25,246,86.5,106.5,NA,NA,31.5,33,11.61,NA,3.24,18
ALL,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,74.75,185,79,100,NA,NA,NA,NA,NA,NA,NA,1
ALL,Forward,79.5,230,82,105.5,NA,NA,28,30,10.93,NA,3.25,16
ALL,Guard,72.5,181,81,98,NA,NA,37,43.5,11.24,NA,3.21,13
ALL,Forward,80,236,83,107,NA,NA,32,35.5,11.7,NA,3.22,18
ALL,Guard,72,191,78.5,96.5,NA,NA,NA,NA,NA,NA,NA,9
ALL,Center,80,263,85.5,109,NA,NA,23,25,13.32,NA,3.4,14
ALL,Guard,72,176,73.5,94,NA,NA,23,29,11.5,NA,3.27,4
ALL,Center,84,255,87,113,NA,NA,21,29,12.9,NA,3.62,2
ALL,Forward,77.75,196,83,105,NA,NA,29,36,11.95,NA,3.38,11
ALL,Forward,79.5,215,81.5,106.5,NA,NA,27,31,11.58,NA,3.12,6
ALL,Forward,78.25,223,83,106,NA,NA,31,32,11.38,NA,3.19,4
ALL,Forward,79,220,84.5,108.5,NA,NA,27.5,31.5,11.46,NA,3.34,5
ALL,Forward,81.5,223,88,111.5,NA,NA,25.5,31.5,11.64,NA,3.34,1
ALL,Guard,72,193,78.5,98,NA,NA,31.5,35,10.45,NA,3.14,7
ALL,Center,83.25,264,88.5,113,NA,NA,NA,NA,NA,NA,NA,15
ALL,Forward,75.5,216,81,100,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,76.5,214,80.5,103,NA,NA,24,31,10.89,NA,3.2,12
ALL,Guard,72.5,202,79.5,98.5,NA,NA,29,32,10.97,NA,3.1,15
ALL,Forward,80.25,234,85,108.5,NA,NA,29.5,31,11.15,NA,3.25,13
ALL,Forward,80.25,260,85,108,NA,NA,27,31.5,11.75,NA,3.36,22
ALL,Forward,78.5,248,86,106.5,NA,NA,26.5,30.5,12.49,NA,3.24,9
ALL,Guard,73,192,80.5,99,NA,NA,31.5,37.5,11.28,NA,3.19,12
ALL,Guard,73.75,170,79.5,98.5,NA,NA,30.5,37,11.03,NA,3.19,5
ALL,Forward,81,240,88.5,111.5,NA,NA,30.5,35.5,11.21,NA,3.14,7
ALL,Forward,79.5,229,84.5,107,NA,NA,28.5,34.5,11.91,NA,3.28,NA
ALL,Forward,80.25,238,84.5,106.5,NA,NA,29.5,36,11.33,NA,3.2,22
ALL,Forward,77.75,217,83,105.5,NA,NA,30.5,34.5,11.17,NA,3.18,4
ALL,Forward,80.5,233,89,111.5,NA,NA,26.5,32.5,12.28,NA,3.41,13
ALL,Forward,78,212,80.5,103,NA,NA,26.5,36,11.1,NA,3.24,13
ALL,Forward,80.5,263,86.5,110,NA,NA,28.5,30,13.08,NA,3.29,3
ALL,Forward,79,262,87,109,NA,NA,26.5,28.5,11.81,NA,3.38,14
ALL,Guard,73,172,74.5,95,NA,NA,26,28.5,11.07,NA,3.28,4
ALL,Forward,79.5,210,85.5,107,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,82.25,244,84,109.5,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,78.25,186,83,105.5,NA,NA,26.5,30,10.72,NA,3.23,NA
ALL,Forward,78.75,247,81.5,107,NA,NA,25.5,29.5,12.93,NA,3.23,6
ALL,Forward,77.75,206,84.5,105.5,NA,NA,29,34.5,11.08,NA,3.13,13
ALL,Forward,78.75,241,84,105.5,NA,NA,25,30.5,11.81,NA,3.33,11
ALL,Forward,79.5,229,86,107,NA,NA,24.5,28.5,11.74,NA,3.39,8
ALL,Guard,75.25,198,79,101.5,NA,NA,27.5,33,10.94,NA,3.1,13
ALL,Forward,78.5,198,84.5,107,NA,NA,28.5,32.5,11.01,NA,3.21,NA
ALL,Guard,76,202,81,101.5,NA,NA,25,30,11.31,NA,3.34,NA
ALL,Forward,75.75,205,83.5,102,NA,NA,30.5,33.5,11.45,NA,3.22,16
ALL,Guard,71,199,74.5,95,NA,NA,28.5,33.5,10.95,NA,3.14,15
ALL,Guard,75.5,223,82,102,NA,NA,27.5,32.5,11.27,NA,3.32,11
ALL,Forward,80.75,257,88,110.5,NA,NA,31.5,34,12.32,NA,3.15,22
ALL,Forward,81,193,82.5,107.5,NA,NA,26.5,33,11.18,NA,3.27,6
ALL,Forward,79.5,239,79,105,NA,NA,26,30,10.99,NA,3.4,17
ALL,Guard,74.75,210,81.5,101.5,NA,NA,30,36,11.14,NA,3.17,17
ALL,Guard,74.25,182,78.5,99.5,NA,NA,27.5,32.5,11.5,NA,3.24,1
ALL,Guard,75,207,79.5,100.5,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,69.75,170,71.5,92.5,NA,NA,25,29,11.37,NA,3.25,2
ALL,Center,85.75,266,89.5,111.5,NA,NA,24,26.5,12.61,NA,3.6,2
ALL,Forward,82,246,84.5,109,NA,NA,22,26,12.65,NA,3.56,15
ALL,Forward,79.5,233,81.5,106.5,NA,NA,27.5,33,12.52,NA,3.3,18
ALL,Forward,77.25,208,82,102,NA,NA,28.5,34.5,10.91,NA,3.17,14
ALL,Guard,67.75,181,73,91.5,NA,NA,35.5,43.5,10.75,NA,2.96,13
ALL,Forward,78.5,205,83.5,106,NA,NA,24.5,30.5,11.98,NA,3.37,9
ALL,Guard,74,204,83,102.5,NA,NA,31.5,35.5,11.27,NA,3.18,8
ALL,Forward,81.25,234,83,107,NA,NA,23.5,31.5,10.93,NA,3.39,8
ALL,Forward,77.5,227,82,104,NA,NA,29,35.5,10.93,NA,3.21,5
ALL,Forward,79,221,84,106.5,NA,NA,32.5,39.5,11.43,NA,3.24,12
ALL,Forward,78,228,81,104,NA,NA,30,35,10.79,NA,3.13,19
ALL,Forward,80.5,233,86,108.5,NA,NA,28,31.5,12.13,NA,3.27,18
ALL,Forward,82.25,233,86,109.5,NA,NA,26,31.5,11.65,NA,3.38,8
ALL,Guard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,82.5,272,83,107.5,NA,NA,23,26.5,13.13,NA,3.63,15
ALL,Guard,78.5,198,79,103.5,NA,NA,32,31.5,11.8,NA,3.23,NA
ALL,Guard,74.5,199,76.5,98,NA,NA,NA,NA,NA,NA,NA,2
ALL,Forward,81.25,226,84,105.5,NA,NA,29.5,33.5,10.75,NA,3.25,12
ALL,Guard,73.5,183,78,99.5,NA,NA,30,35,11.2,NA,3.15,12
ALL,Forward,76.5,222,84,106,NA,NA,26.5,31,11.92,NA,3.15,15
ALL,Forward,77.5,197,83.5,105.5,NA,NA,23.5,27.5,11.59,NA,3.42,NA
ALL,Forward,80.5,240,85.5,109.5,NA,NA,23.5,26,12.6,NA,3.35,1
ALL,Guard,72.5,190,82,98.5,NA,NA,28.5,32.5,11.15,NA,3.28,10
ALL,Forward,78.75,257,86.5,106,NA,NA,31,34.5,12.93,NA,3.3,6
ALL,Forward,80.25,216,83,106.5,NA,NA,26,30.5,11.23,NA,3.4,6
ALL,Forward,78.25,233,84,105.5,NA,NA,30.5,33.5,11.4,NA,3.15,7
ALL,Forward,81,237,84.5,107,NA,NA,27,32,11.36,NA,3.25,10
ALL,Guard,72.25,178,77,97.5,NA,NA,34.5,41,10.89,NA,3.06,17
ALL,Forward,78,205,78,101.5,NA,NA,33.5,36.5,11.64,NA,3.38,12
ALL,Guard,76.25,213,81.25,101,NA,NA,29.5,35,11.43,NA,3.25,10
ALL,Forward,80.5,242,80.75,105.5,NA,NA,27,32,11.52,NA,3.32,20
ALL,Forward,82.25,225,87.5,109,NA,NA,30.5,33,11.8,NA,3.3,9
ALL,Guard,73,187,76,96,NA,NA,29,35.5,11.2,NA,3.07,14
ALL,Forward,81.75,211,86.25,109,NA,NA,28.5,34.5,11.51,NA,3.2,2
ALL,Forward,77,207,78.5,98.5,NA,NA,29,33.5,11.11,NA,3.35,13
ALL,Forward,80.75,255,85.5,108,NA,NA,28,33,11.62,NA,3.28,8
ALL,Forward,81.5,234,86,109,NA,NA,25,29,11.87,NA,3.45,6
ALL,Forward,80.25,239,81.25,105.5,NA,NA,26,32.5,11.27,NA,3.14,13
ALL,Guard,77.25,198,82,103.5,NA,NA,30.5,35,11.62,NA,3.25,6
ALL,Forward,82,253,84,108,NA,NA,23.5,27.5,11.97,NA,3.65,3
ALL,Guard,75.5,193,79.25,100.5,NA,NA,28.5,35,11.95,NA,3.27,9
ALL,Forward,78,209,80.25,101,NA,NA,37.5,41.5,11.09,NA,3.23,11
ALL,Guard,76,201,77.25,98.5,NA,NA,28,34,11.77,NA,3.32,11
ALL,Guard,75.5,210,82.5,102,NA,NA,29.5,33.5,11.38,NA,3.16,NA
ALL,Forward,80.5,257,88,108,NA,NA,30,36,12.92,NA,3.31,7
ALL,Guard,71,162,71.5,93.5,NA,NA,32.5,39.5,11.45,NA,3.2,0
ALL,Guard,69.75,194,73,92,NA,NA,30.5,35,10.62,NA,3.17,10
ALL,Guard,74.5,201,79.25,100,NA,NA,28.5,28.5,11.86,NA,3.19,13
ALL,Guard,75,217,83,103,NA,NA,30,37.5,11.18,NA,3.18,17
ALL,Guard,76.5,200,78.5,100.5,NA,NA,31.5,35,10.72,NA,3.18,16
ALL,Forward,81.5,245,85,109.5,NA,NA,29.5,32,11.85,NA,3.32,11
ALL,Guard,72.75,163,78.25,98,NA,NA,29.5,37.5,11.5,NA,3.15,7
ALL,Guard,74.75,186,78,98.5,NA,NA,29,33.5,10.98,NA,3.1,10
ALL,Forward,80.75,232,87.25,109.5,NA,NA,33,37.5,11.54,NA,3.24,11
ALL,Forward,79.25,261,82.75,107.5,NA,NA,NA,NA,NA,NA,NA,24
ALL,Forward,77.25,202,86,105.5,NA,NA,33,36.5,10.89,NA,3.09,4
ALL,Forward,78.5,266,86.75,105.5,NA,NA,32.5,35,11.13,NA,3.21,25
ALL,Forward,80.5,229,85,109.5,NA,NA,26,30.5,13.02,NA,3.4,12
ALL,Forward,81.5,232,82.75,107,NA,NA,26.5,33,11.21,NA,3.13,10
ALL,Forward,79.75,254,84,107.5,NA,NA,23.5,26,11.26,NA,3.25,15
ALL,Forward,79.25,245,84.25,106.3,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,82,212,82.75,107.5,NA,NA,26.5,32.5,10.67,NA,3.08,13
ALL,Forward,76.75,214,81,102.5,NA,NA,30,39.5,10.91,NA,3.11,NA
ALL,Forward,79.25,218,86.5,107.5,NA,NA,30.5,33,11.18,NA,3.19,9
ALL,Forward,83.5,252,83.75,110.5,NA,NA,23.5,30.5,11.33,NA,3.37,15
ALL,Forward,78.5,215,78.5,102,NA,NA,23.5,30,11.04,NA,3.38,8
ALL,Forward,81.75,270,84.5,106.5,NA,NA,29.5,34,11.18,NA,3.3,27
ALL,Guard,75.75,200,77.5,98.5,NA,NA,28,33.5,11.37,NA,3.18,11
ALL,Guard,71.75,190,78,95.5,NA,NA,NA,NA,NA,NA,NA,6
ALL,Forward,78.25,211,81.5,102.5,NA,NA,25.5,31.5,11.42,NA,3.47,13
ALL,Forward,80.25,316,90.25,110,NA,NA,24.5,32,14.01,NA,3.55,8
ALL,Forward,81.5,229,87,97,NA,NA,33,37,11.18,NA,3.2,18
ALL,Center,84,334,92,114,NA,NA,NA,NA,NA,NA,NA,12
ALL,Forward,78.5,259,85,106.5,NA,NA,26.5,33,12.48,NA,3.22,13
ALL,Forward,81.5,258,87.5,109.5,NA,NA,25,32.5,11.83,NA,3.42,17
ALL,Forward,83.5,250,89,111.5,NA,NA,26.5,32.5,11.3,NA,3.36,13
ALL,Forward,80,199,85,106,NA,NA,27.5,34,11.18,NA,3.23,9
ALL,Forward,79.75,246,87.75,106.5,NA,NA,27.5,29,11.83,NA,3.25,21
ALL,Forward,79.25,228,87,109,NA,NA,32,36.5,11.43,NA,3.2,8
ALL,Guard,72.75,184,75.5,97,NA,NA,28,32,NA,NA,3.42,13
ALL,Forward,79,246,86,107,NA,NA,28.5,33,11.37,NA,3.27,17
ALL,Forward,77,218,77.25,97,NA,NA,32,35.5,10.44,NA,3.04,15
ALL,Center,87.5,303,89.75,116,NA,NA,19.5,22.5,13.4,NA,3.8,5
ALL,Forward,80,227,85,107.5,NA,NA,32.5,38.5,11.72,NA,3.2,15
ALL,Guard,71.5,165,76.5,94.5,NA,NA,27.5,33,10.72,NA,3.25,1
ALL,Guard,73,167,75,95.5,NA,NA,26,32.5,11,NA,3.28,0
ALL,Guard,76,224,82,103,NA,NA,29,34.5,11.75,NA,3.2,17
ALL,Forward,78,236,82,103.5,NA,NA,28.5,31.5,12.01,NA,3.43,10
ALL,Forward,78.5,234,82.25,104.5,NA,NA,28.5,32,10.99,NA,3.1,25
ALL,Forward,81,200,86.5,107.5,NA,NA,30,33,11.54,NA,3.14,2
ALL,Forward,81.5,261,87.5,109.5,NA,NA,25.5,27.5,12.1,NA,3.5,9
ALL,Forward,79.25,262,85,107.5,NA,NA,26,31.5,12.9,NA,3.28,3
